names,chiemos,engemos,chisubs,engsubs
sample_00000648,生气,angry,别再跟我说感觉。,Don't talk to me about feelings anymore.
sample_00000680,高兴,happy,昨晚，都忘了好好谢谢你。,"Last night, I forgot to thank you properly."
sample_00000927,高兴,happy,小蚯蚓，你什么时候回来呀。,"Little earthworm, when are you coming back?"
sample_00001823,担忧,worried,我是想问你，为什么退出？是不是真的不想在急诊干了，真的要去美国。,"I want to ask you, why are you quitting? Is it true that you don't want to work in the emergency department anymore and really want to go to the United States?"
sample_00002348,惊讶,surprise,啊。未未怀孕啦。,Ah. Wei Wei is pregnant.
sample_00002518,悲伤,sad,倘若他在的话，一定会支持我的。,"If he is here, he will definitely support me."
sample_00003662,高兴,happy,是多么的有分量，是多么的珍贵。,"How substantial it is, how precious it is."
sample_00003855,生气,angry,别这么说我婆婆，再说这钱也不是人家给我的。,"Don't say that about my mother-in-law, and besides, this money wasn't given to me by them."
sample_00004125,悲伤,sad,对不起。,I'm sorry.
sample_00004422,高兴,happy,nan,nan
sample_00004722,悲伤,sad,我现在心里堵得慌，我能跟你聊吗？,"I feel really upset now, can I talk to you?"
sample_00004776,生气,angry,不用发誓，如果你说谎，发誓一百遍都没用。,"No need to swear, even if you lie, swearing a hundred times is useless."
sample_00005000,担忧,worried,可是我还不知道，这考核能不能通过呢？而且,But I still don't know if I can pass this assessment. And
sample_00005526,生气,angry,然后再来一句，你们是和平分手就打发我了，你耍我呀你。,"And then, another sentence, you broke up with me peacefully and sent me away, you played me."
sample_00005608,高兴,happy,接受，我只听到了这两个字。,"Accepted, I only heard those two words."
sample_00006114,担忧,worried,妈，你说的我都明白，可是我这心里，老放不下。,"Mom, I understand everything you said, but I can't let go of it in my heart."
sample_00006294,高兴,happy,谢谢！我，其实，也早就知道，你跟果然的关系了。,"Thank you! Actually, I have known about your relationship with Guoran for a long time."
sample_00006710,高兴,happy,谢谢干妈夸奖，你等我的好消息吧。,"Thank you for the praise, wait for my good news."
sample_00006748,生气,angry,好，好，我的感受：我很开心，我很高兴，我很高兴你满意了吗？,"OK. OK. How did I feel? I, I was happy. I was very happy, now are you satisfied?"
sample_00005854,生气,angry,那么多混蛋老大你不选，偏选达哥？,"Why did you choose Dage instead of so many bastards, boss?"
sample_00003358,悲伤,sad,也没什么关系了，以后呢。,"It doesn't matter anymore, what about the future."
sample_00005933,高兴,happy,你看看你。,Look at yourself.
sample_00000613,生气,angry,朋友，谈感情是吗？,"Friend, are you talking about emotions?"
sample_00001832,担忧,worried,最好还是跟曾主任说一声，万一他要是找你。,"It's better to let Director Zeng know, just in case he wants to find you."
sample_00001178,生气,angry,曹小强，我警告你，你如果再敢纠缠我们家微澜，我真跟你没完。,"Cao Xiaoqiang, I warn you, if you dare to bother our family Weilan again, I will really not let you off."
sample_00002571,惊讶,surprise,他还活着啊，啊。,"He is still alive, ah."
sample_00006664,担忧,worried,你最好不要知道这件事情，可现在你知道了，你不会怪我没告诉你吧。,"You'd better not know about this, but now you know, you won't blame me for not telling you, right?"
sample_00002730,担忧,worried,好。,Good.
sample_00006774,担忧,worried,有，我想一定会有好的办法。,"Yes, I believe there will be a good solution."
sample_00002785,高兴,happy,哼。,Hmm.
sample_00001110,高兴,happy,大家可以边吃边聊。,Everyone can eat and chat at the same time.
sample_00006433,担忧,worried,我们这一批进公司的呀，都是什么名校毕业，我真怕像我这种，排不上号学校出来的，回头再给淘汰出去。,"The batch of people who joined the company today, all graduated from prestigious universities. I'm really afraid that someone like me, who didn't graduate from a top-ranked school, will be eliminated later."
sample_00002956,生气,angry,本来一件旗袍，小事一桩，没必要跟你争，但是我就看不惯你种假模假式的人。,"Originally a cheongsam, a small matter, not worth arguing with you, but I just can't stand people like you who pretend to be someone you're not."
